Year,State,2013 Urbanization,2013 Urbanization Code,Deaths,Population,Age Adjusted Rate,aar_unreliable,urb_code
1999.0,Utah,Medium Metro,3.0,50.0,848685.0,6.8,0,"[3.0, 'Medium Metro']"
1999.0,Vermont,Small Metro,4.0,12.0,197026.0,5.9,1,"[4.0, 'Small Metro']"
1999.0,Vermont,Micropolitan (non-metro),5.0,13.0,249401.0,5.2,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Virginia,Large Central Metro,1.0,95.0,1169395.0,7.7,0,"[1.0, 'Large Central Metro']"
1999.0,Virginia,Large Fringe Metro,2.0,164.0,3527821.0,4.4,0,"[2.0, 'Large Fringe Metro']"
1999.0,Virginia,Medium Metro,3.0,22.0,606295.0,3.5,0,"[3.0, 'Medium Metro']"
1999.0,Virginia,Small Metro,4.0,29.0,648514.0,4.6,0,"[4.0, 'Small Metro']"
1999.0,Virginia,Micropolitan (non-metro),5.0,17.0,289394.0,5.8,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Virginia,NonCore (non-metro),6.0,39.0,758755.0,5.2,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Washington,Large Central Metro,1.0,197.0,1729058.0,10.6,0,"[1.0, 'Large Central Metro']"
1999.0,Washington,Large Fringe Metro,2.0,161.0,1639908.0,9.7,0,"[2.0, 'Large Fringe Metro']"
1999.0,Washington,Medium Metro,3.0,96.0,1089899.0,8.8,0,"[3.0, 'Medium Metro']"
1999.0,Washington,Small Metro,4.0,58.0,758423.0,8.0,0,"[4.0, 'Small Metro']"
1999.0,Washington,Micropolitan (non-metro),5.0,35.0,483022.0,7.8,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,West Virginia,Medium Metro,3.0,15.0,287412.0,5.2,1,"[3.0, 'Medium Metro']"
1999.0,West Virginia,Small Metro,4.0,26.0,759028.0,3.4,0,"[4.0, 'Small Metro']"
1999.0,West Virginia,Micropolitan (non-metro),5.0,11.0,305005.0,3.6,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,West Virginia,NonCore (non-metro),6.0,21.0,418801.0,5.1,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Wisconsin,Large Central Metro,1.0,74.0,940529.0,8.0,0,"[1.0, 'Large Central Metro']"
1999.0,Wisconsin,Large Fringe Metro,2.0,23.0,802182.0,2.8,0,"[2.0, 'Large Fringe Metro']"
1999.0,Wisconsin,Medium Metro,3.0,36.0,854440.0,4.1,0,"[3.0, 'Medium Metro']"
1999.0,Wisconsin,Small Metro,4.0,44.0,1283463.0,3.4,0,"[4.0, 'Small Metro']"
1999.0,Wisconsin,Micropolitan (non-metro),5.0,12.0,743079.0,1.6,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Wisconsin,NonCore (non-metro),6.0,23.0,708973.0,3.3,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Wyoming,Micropolitan (non-metro),5.0,12.0,202808.0,6.0,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Alabama,Large Central Metro,1.0,47.0,662047.0,7.1,0,"[1.0, 'Large Central Metro']"
2000.0,Alabama,Large Fringe Metro,2.0,15.0,390191.0,3.7,1,"[2.0, 'Large Fringe Metro']"
2000.0,Alabama,Medium Metro,3.0,48.0,1138503.0,4.2,0,"[3.0, 'Medium Metro']"
2000.0,Alabama,Small Metro,4.0,55.0,1093902.0,5.2,0,"[4.0, 'Small Metro']"
2000.0,Alabama,Micropolitan (non-metro),5.0,16.0,511460.0,3.2,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Alabama,NonCore (non-metro),6.0,16.0,650997.0,2.5,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Alaska,Medium Metro,3.0,28.0,319605.0,8.0,0,"[3.0, 'Medium Metro']"
2000.0,Alaska,NonCore (non-metro),6.0,13.0,179706.0,7.1,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Arizona,Large Central Metro,1.0,274.0,3072149.0,9.1,0,"[1.0, 'Large Central Metro']"
2000.0,Arizona,Large Fringe Metro,2.0,14.0,179727.0,8.5,1,"[2.0, 'Large Fringe Metro']"
2000.0,Arizona,Medium Metro,3.0,163.0,843746.0,19.9,0,"[3.0, 'Medium Metro']"
2000.0,Arizona,Small Metro,4.0,51.0,716650.0,7.5,0,"[4.0, 'Small Metro']"
2000.0,Arizona,Micropolitan (non-metro),5.0,11.0,220675.0,5.7,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Arkansas,Medium Metro,3.0,53.0,1104200.0,4.9,0,"[3.0, 'Medium Metro']"
2000.0,Arkansas,Small Metro,4.0,22.0,357242.0,6.4,0,"[4.0, 'Small Metro']"
2000.0,Arkansas,Micropolitan (non-metro),5.0,29.0,562697.0,5.4,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Arkansas,NonCore (non-metro),6.0,35.0,598395.0,5.9,0,"[6.0, 'NonCore (non-metro)']"
2000.0,California,Large Central Metro,1.0,1251.0,21851405.0,5.8,0,"[1.0, 'Large Central Metro']"
2000.0,California,Large Fringe Metro,2.0,171.0,4239292.0,4.0,0,"[2.0, 'Large Fringe Metro']"
2000.0,California,Medium Metro,3.0,409.0,5959967.0,7.2,0,"[3.0, 'Medium Metro']"
2000.0,California,Small Metro,4.0,50.0,1024786.0,5.1,0,"[4.0, 'Small Metro']"
2000.0,California,Micropolitan (non-metro),5.0,47.0,535000.0,8.4,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,California,NonCore (non-metro),6.0,13.0,261198.0,4.8,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Colorado,Large Central Metro,1.0,84.0,554636.0,15.0,0,"[1.0, 'Large Central Metro']"
2000.0,Colorado,Large Fringe Metro,2.0,133.0,1603120.0,8.0,0,"[2.0, 'Large Fringe Metro']"
2000.0,Colorado,Medium Metro,3.0,74.0,1261202.0,5.8,0,"[3.0, 'Medium Metro']"
2000.0,Colorado,Small Metro,4.0,33.0,257727.0,13.4,0,"[4.0, 'Small Metro']"
2000.0,Colorado,Micropolitan (non-metro),5.0,13.0,327937.0,3.6,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Colorado,NonCore (non-metro),6.0,15.0,296639.0,5.2,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Connecticut,Large Central Metro,1.0,101.0,857183.0,11.6,0,"[1.0, 'Large Central Metro']"
2000.0,Connecticut,Large Fringe Metro,2.0,20.0,291435.0,6.6,0,"[2.0, 'Large Fringe Metro']"
2000.0,Connecticut,Medium Metro,3.0,184.0,2074754.0,8.7,0,"[3.0, 'Medium Metro']"
2000.0,Connecticut,Micropolitan (non-metro),5.0,15.0,182193.0,8.4,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Delaware,Large Fringe Metro,2.0,38.0,500265.0,7.4,0,"[2.0, 'Large Fringe Metro']"
2000.0,Delaware,Small Metro,4.0,11.0,126697.0,8.8,1,"[4.0, 'Small Metro']"
2000.0,District of Columbia,Large Central Metro,1.0,76.0,572059.0,13.4,0,"[1.0, 'Large Central Metro']"
2000.0,Florida,Large Central Metro,1.0,405.0,5849015.0,6.9,0,"[1.0, 'Large Central Metro']"
2000.0,Florida,Large Fringe Metro,2.0,333.0,4321857.0,7.9,0,"[2.0, 'Large Fringe Metro']"
2000.0,Florida,Medium Metro,3.0,315.0,4278744.0,7.8,0,"[3.0, 'Medium Metro']"
2000.0,Florida,Small Metro,4.0,63.0,886018.0,7.9,0,"[4.0, 'Small Metro']"
2000.0,Florida,Micropolitan (non-metro),5.0,22.0,337792.0,6.8,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Florida,NonCore (non-metro),6.0,21.0,308952.0,6.7,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Georgia,Large Central Metro,1.0,54.0,816006.0,6.4,0,"[1.0, 'Large Central Metro']"
2000.0,Georgia,Large Fringe Metro,2.0,154.0,3447432.0,4.3,0,"[2.0, 'Large Fringe Metro']"
2000.0,Georgia,Medium Metro,3.0,31.0,995386.0,3.2,0,"[3.0, 'Medium Metro']"
2000.0,Georgia,Small Metro,4.0,53.0,1324692.0,4.1,0,"[4.0, 'Small Metro']"
2000.0,Georgia,Micropolitan (non-metro),5.0,36.0,882177.0,4.1,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Georgia,NonCore (non-metro),6.0,36.0,720760.0,5.1,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Hawaii,Medium Metro,3.0,42.0,876156.0,4.9,0,"[3.0, 'Medium Metro']"
2000.0,Hawaii,Micropolitan (non-metro),5.0,15.0,207140.0,7.0,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Idaho,Medium Metro,3.0,23.0,464840.0,5.0,0,"[3.0, 'Medium Metro']"
2000.0,Idaho,Small Metro,4.0,18.0,337565.0,5.5,1,"[4.0, 'Small Metro']"
2000.0,Idaho,Micropolitan (non-metro),5.0,15.0,356740.0,4.6,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Illinois,Large Central Metro,1.0,556.0,5376741.0,10.4,0,"[1.0, 'Large Central Metro']"
2000.0,Illinois,Large Fringe Metro,2.0,171.0,3567608.0,4.8,0,"[2.0, 'Large Fringe Metro']"
2000.0,Illinois,Medium Metro,3.0,40.0,904454.0,4.4,0,"[3.0, 'Medium Metro']"
2000.0,Illinois,Small Metro,4.0,42.0,1011899.0,4.3,0,"[4.0, 'Small Metro']"
2000.0,Illinois,Micropolitan (non-metro),5.0,33.0,917430.0,3.6,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Illinois,NonCore (non-metro),6.0,26.0,641161.0,4.2,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Indiana,Large Central Metro,1.0,35.0,860454.0,4.1,0,"[1.0, 'Large Central Metro']"
2000.0,Indiana,Large Fringe Metro,2.0,58.0,1784863.0,3.3,0,"[2.0, 'Large Fringe Metro']"
2000.0,Indiana,Medium Metro,3.0,36.0,907081.0,4.0,0,"[3.0, 'Medium Metro']"
2000.0,Indiana,Small Metro,4.0,38.0,1059898.0,3.7,0,"[4.0, 'Small Metro']"
2000.0,Indiana,Micropolitan (non-metro),5.0,32.0,1005380.0,3.2,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Indiana,NonCore (non-metro),6.0,15.0,462809.0,3.4,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Iowa,Medium Metro,3.0,28.0,995209.0,2.8,0,"[3.0, 'Medium Metro']"
2000.0,Iowa,Small Metro,4.0,19.0,593232.0,3.1,1,"[4.0, 'Small Metro']"
2000.0,Iowa,Micropolitan (non-metro),5.0,16.0,506928.0,3.2,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Iowa,NonCore (non-metro),6.0,10.0,830955.0,1.3,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Kansas,Large Fringe Metro,2.0,22.0,715580.0,3.0,0,"[2.0, 'Large Fringe Metro']"
2000.0,Kansas,Medium Metro,3.0,32.0,579839.0,5.6,0,"[3.0, 'Medium Metro']"
2000.0,Kansas,Small Metro,4.0,20.0,413814.0,5.1,0,"[4.0, 'Small Metro']"
2000.0,Kansas,Micropolitan (non-metro),5.0,17.0,548898.0,3.4,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Kansas,NonCore (non-metro),6.0,12.0,430287.0,2.9,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Kentucky,Large Central Metro,1.0,50.0,693604.0,7.1,0,"[1.0, 'Large Central Metro']"
2000.0,Kentucky,Large Fringe Metro,2.0,26.0,554696.0,4.5,0,"[2.0, 'Large Fringe Metro']"
2000.0,Kentucky,Medium Metro,3.0,31.0,624660.0,4.9,0,"[3.0, 'Medium Metro']"
2000.0,Kentucky,Small Metro,4.0,10.0,378747.0,2.6,1,"[4.0, 'Small Metro']"
2000.0,Kentucky,Micropolitan (non-metro),5.0,44.0,786511.0,5.6,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Kentucky,NonCore (non-metro),6.0,80.0,1003551.0,8.1,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Louisiana,Large Central Metro,1.0,13.0,484674.0,2.8,1,"[1.0, 'Large Central Metro']"
2000.0,Louisiana,Large Fringe Metro,2.0,103.0,853052.0,11.9,0,"[2.0, 'Large Fringe Metro']"
2000.0,Louisiana,Medium Metro,3.0,69.0,1548789.0,4.5,0,"[3.0, 'Medium Metro']"
2000.0,Louisiana,Small Metro,4.0,33.0,803721.0,4.2,0,"[4.0, 'Small Metro']"
2000.0,Louisiana,Micropolitan (non-metro),5.0,18.0,403500.0,4.8,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Louisiana,NonCore (non-metro),6.0,12.0,375240.0,3.2,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Maine,Medium Metro,3.0,30.0,487568.0,6.1,0,"[3.0, 'Medium Metro']"
2000.0,Maine,Small Metro,4.0,11.0,248712.0,4.3,1,"[4.0, 'Small Metro']"
2000.0,Maine,NonCore (non-metro),6.0,18.0,421529.0,4.3,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Maryland,Large Central Metro,1.0,285.0,651154.0,44.8,0,"[1.0, 'Large Central Metro']"
2000.0,Maryland,Large Fringe Metro,2.0,296.0,4053033.0,7.0,0,"[2.0, 'Large Fringe Metro']"
2000.0,Maryland,Medium Metro,3.0,20.0,287857.0,6.8,0,"[3.0, 'Medium Metro']"
2000.0,Maryland,Small Metro,4.0,10.0,161141.0,6.2,1,"[4.0, 'Small Metro']"
2000.0,Massachusetts,Large Central Metro,1.0,68.0,689807.0,10.0,0,"[1.0, 'Large Central Metro']"
2000.0,Massachusetts,Large Fringe Metro,2.0,247.0,3846623.0,6.2,0,"[2.0, 'Large Fringe Metro']"
2000.0,Massachusetts,Medium Metro,3.0,119.0,1359442.0,8.7,0,"[3.0, 'Medium Metro']"
2000.0,Massachusetts,Small Metro,4.0,24.0,357183.0,7.3,0,"[4.0, 'Small Metro']"
